# 158a6a16-be56-4bc2-90ad-b20cd5cdc9fc
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.3422495; -0.3020700; -2.2244643; -0.0000489; 38.5802685; 3.8601027
1.9998958; -0.7546724; -1.5182882; -2.2245593; -0.0000461; 38.7798495; 3.8396350
3.9997917; 0.8327911; -2.7346515; -2.2246487; -0.0000435; 38.9773584; 3.8185538
5.9996875; 2.4201491; -3.9511534; -2.2247335; -0.0000412; 39.1727952; 3.7594026
7.9995833; 4.0074074; -5.1677867; -2.2248139; -0.0000392; 39.3642568; 3.7399355
9.9994791; 5.5945697; -6.3845442; -2.2248903; -0.0000373; 39.5538073; 3.7199412
11.9993750; 7.1816411; -7.6014196; -2.2249630; -0.0000354; 39.7414477; 3.6642454
13.9992708; 8.7686269; -8.8184083; -2.2250322; -0.0000337; 39.9254165; 3.6456815
15.9991666; 10.3555302; -10.0355036; -2.2250980; -0.0000321; 40.1076158; 3.6266647
17.9990625; 11.9423550; -11.2527007; -2.2251607; -0.0000306; 40.2880473; 3.5740763
19.9989583; 13.5291060; -12.4699954; -2.2252204; -0.0000292; 40.4650752; 3.5563348
21.9988541; 15.1157857; -13.6873824; -2.2252774; -0.0000278; 40.6404590; 3.5382047
23.9987500; 16.7023972; -14.9048572; -2.2253316; -0.0000265; 40.8142009; 3.4884256
25.9986458; 18.2889450; -16.1224169; -2.2253834; -0.0000253; 40.9847773; 3.4714361
27.9985416; 19.8754308; -17.3400565; -2.2254329; -0.0000242; 41.1538211; 3.4541143
29.9984374; 21.4618573; -18.5577724; -2.2254801; -0.0000231; 41.3213350; 3.4068863
31.9983333; 23.0482285; -19.7755621; -2.2255252; -0.0000220; 41.4858959; 3.3905874
33.9982291; 24.6345456; -20.9934215; -2.2255682; -0.0000211; 41.6490241; 3.3740058
35.9981249; 26.2208110; -22.2113474; -2.2256094; -0.0000201; 41.8107226; 3.3291042
37.9980208; 27.8070281; -23.4293377; -2.2256488; -0.0000193; 41.9696587; 3.3134419
39.9979166; 29.3931979; -24.6473889; -2.2256865; -0.0000184; 42.1272516; 3.2975405
41.9978124; 30.9793225; -25.8654982; -2.2257225; -0.0000176; 42.2835051; 3.2547687
43.9977083; 32.5654048; -27.0836640; -2.2257570; -0.0000169; 42.4371676; 3.2396950
45.9976041; 34.1514457; -28.3018831; -2.2257901; -0.0000162; 42.5895680; 3.2244214
47.9974999; 35.7374467; -29.5201533; -2.2258217; -0.0000155; 42.7407103; 3.1836060
49.9973957; 37.3234108; -30.7384731; -2.2258521; -0.0000148; 42.8894168; 3.1690786
51.9972916; 38.9093383; -31.9568397; -2.2258811; -0.0000142; 43.0369345; 3.1543861
53.9971874; 40.4952307; -33.1752513; -2.2259090; -0.0000136; 43.1832678; 3.1153740
55.9970832; 42.0810906; -34.3937067; -2.2259358; -0.0000131; 43.3273062; 3.1013550
57.9969791; 43.6669182; -35.6122033; -2.2259614; -0.0000126; 43.4702224; 3.0872021
59.9968749; 45.2527149; -36.8307395; -2.2259860; -0.0000121; 43.6120213; 3.0498571
61.9967707; 46.8384828; -38.0493146; -2.2260097; -0.0000116; 43.7516537; 3.0363125
63.9966666; 48.4242222; -39.2679260; -2.2260324; -0.0000111; 43.8902246; 3.0226624
65.9965624; 50.0099341; -40.4865726; -2.2260542; -0.0000107; 44.0277394; 2.9868629
67.9964582; 51.5956207; -41.7052534; -2.2260751; -0.0000103; 44.1632049; 2.9737622
69.9963540; 53.1812818; -42.9239667; -2.2260953; -0.0000099; 44.2976647; 2.9605816
71.9962499; 54.7669187; -44.1427110; -2.2261146; -0.0000095; 44.4311243; 2.9262188
73.9961457; 56.3525330; -45.3614858; -2.2261332; -0.0000091; 44.5626421; 2.9135344
75.9960415; 57.9381247; -46.5802894; -2.2261511; -0.0000088; 44.6932053; 2.9007934
77.9959374; 59.5236947; -47.7991206; -2.2261684; -0.0000084; 44.8228197; 2.8677694
79.9958332; 61.1092447; -49.0179791; -2.2261850; -0.0000081; 44.9505912; 2.8554764
81.9957290; 62.6947746; -50.2368631; -2.2262009; -0.0000078; 45.0774551; 2.8431480
83.9956249; 64.2802851; -51.4557718; -2.2262163; -0.0000075; 45.2034176; 2.8113745
85.9955207; 65.8657778; -52.6747048; -2.2262311; -0.0000073; 45.3276281; 2.7994501
87.9954165; 67.4512525; -53.8936607; -2.2262454; -0.0000070; 45.4509746; 2.7875097
89.9953123; 69.0367098; -55.1126385; -2.2262591; -0.0000068; 45.5734632; 2.7569067
91.9952082; 70.6221512; -56.3316382; -2.2262724; -0.0000065; 45.6942841; 2.7453303
93.9951040; 72.2075764; -57.5506584; -2.2262852; -0.0000063; 45.8142811; 2.7337558
95.9949998; 73.7929861; -58.7696982; -2.2262975; -0.0000061; 45.9334606; 2.7042507
97.9948957; 75.3783815; -59.9887577; -2.2263094; -0.0000058; 46.0510504; 2.6930033
